participantId,timestamp,x,y,z
1,107181,1545,-2102,3273
1,107220,1592,-2159,3327
1,107260,1550,-2145,3272
1,107301,1575,-2186,3295
1,107341,1570,-2180,3286
1,107382,1592,-2139,3227
1,107421,1544,-2148,3340
1,107462,1566,-2074,3280
1,107502,1565,-2135,3300
1,107542,1537,-2147,3320
1,107583,1574,-2146,3254
1,107623,1579,-2207,3306
1,107663,1601,-2142,3309
1,107703,1549,-2116,3252
1,107744,1565,-2135,3321
1,107784,1588,-2145,3260
1,107824,1571,-2168,3312
1,107864,1541,-2176,3313
1,107904,1566,-2110,3291
1,107944,1583,-2159,3299
1,107985,1580,-2111,3251
1,108025,1546,-2143,3353
1,108065,1565,-2099,3272
1,108105,1546,-2145,3274
1,108145,1572,-2191,3299
1,108186,1581,-2145,3232
1,108226,1550,-2144,3336
1,108266,1554,-2128,3269
1,108306,1575,-2120,3310
1,108346,1544,-2156,3301
1,108387,1644,-2119,3265
1,108426,1537,-2159,3330
1,108467,1583,-2119,3280
1,108507,1548,-2174,3295
1,108547,1556,-2134,3255
1,108588,1596,-2134,3281
1,108627,1584,-2141,3317
1,108667,1557,-2146,3268
1,108708,1579,-2132,3258
1,108748,1564,-2124,3321
1,108788,1578,-2104,3270
1,108828,1555,-2184,3316
1,108868,1556,-2132,3274
1,108908,1539,-2133,3306
1,108949,1561,-2185,3297
1,108989,1571,-2081,3268
1,109029,1542,-2117,3331
1,109069,1612,-2115,3267
1,109109,1560,-2160,3297
1,109149,1576,-2173,3302
1,109190,1555,-2103,3202
1,109229,1565,-2147,3292
1,109270,1553,-2128,3299
1,109310,1586,-2082,3247
1,109350,1534,-2176,3366
1,109391,1550,-2108,3248
1,109430,1564,-2134,3314
1,109470,1577,-2152,3296
1,109511,1550,-2144,3262
1,109551,1605,-2144,3323
1,109592,1577,-2094,3223
1,109631,1565,-2171,3289
1,109671,1533,-2153,3300
1,109712,1566,-2141,3285
1,109752,1571,-2140,3311
1,109793,1560,-2125,3266
1,109832,1572,-2168,3324
1,109872,1555,-2161,3257
1,109913,1575,-2138,3281
1,109953,1553,-2154,3338
1,109994,1546,-2176,3205
1,110033,1551,-2201,3327
1,110074,1552,-2155,3266
1,110114,1539,-2166,3283
1,110154,1545,-2176,3317
1,110195,1561,-2154,3254
1,110235,1553,-2183,3306
1,110275,1528,-2140,3257
1,110315,1541,-2152,3244
1,110355,1536,-2172,3329
1,110396,1519,-2134,3264
1,110436,1496,-2165,3277
1,110476,1537,-2173,3373
1,110517,1549,-2174,3265
1,110557,1532,-2157,3286
1,110598,1548,-2164,3304
1,110637,1548,-2150,3271
1,110678,1584,-2124,3283
1,110718,1553,-2164,3301
1,110758,1536,-2160,3339
1,110799,1503,-2148,3349
1,110839,1555,-2134,3242
1,110879,1503,-2140,3340
1,110919,1547,-2140,3228
1,110959,1494,-2177,3332
1,111001,1576,-2156,3288
1,111040,1543,-2128,3301
1,111080,1528,-2166,3317
